abaxial	ab|axial	prefix
aboral	ab|oral	prefix
amoral	a|moral	prefix
centavo	cent|avo	suffix
global	glob|al	suffix
industrial	industri|al	suffix
musical	music|al	suffix
coral	cor|al	suffix
mosquito	mosqu|ito	suffix
tear	te|ar	suffix
juramento	jura|mento	suffix
matador	mata|dor	suffix
pata	pat|a	suffix
negociante	negoci|ante	suffix
viajar	viaj|ar	suffix
multicultural	multi|cultural	prefix
amargura	amarg|ura	suffix
cerebral	cerebr|al	suffix
italiano	itali|ano	suffix
anal	an|al	suffix
mexicano	mexic|ano	suffix
estudar	estud|ar	suffix
movimento	mov|imento	suffix
agricultural	agricultur|al	suffix
angular	angul|ar	suffix
ornamental	ornament|al	suffix
pagamento	paga|mento	suffix
abusar	abus|ar	suffix
bicameral	bi|cameral	prefix
bilabial	bi|labial	prefix
abandonado	abandon|ado	suffix
velar	vel|ar	suffix
despertador	desperta|dor	suffix
alar	al|ar	suffix
racismo	rac|ismo	suffix
cornada	corn|ada	suffix
circular	circul|ar	suffix
geralmente	geral|mente	suffix
coreano	core|ano	suffix
reaver	re|aver	prefix
romano	rom|ano	suffix
areal	are|al	suffix
feudal	feud|al	suffix
viral	vir|al	suffix
macaco	mac|aco	suffix
continental	continent|al	suffix
boliviano	bolivi|ano	suffix
racial	rac|ial	suffix
ferradura	ferra|dura	suffix
metacarpal	metacarp|al	suffix
colossal	coloss|al	suffix
incentivar	incentiv|ar	suffix
particular	particul|ar	suffix
descanso	des|canso	prefix
frontal	front|al	suffix
comprador	compra|dor	suffix
molecular	molecul|ar	suffix
dado	d|ado	suffix
multilateral	multi|lateral	prefix
interessante	interess|ante	suffix
psicologia	psico|logia	prefix
parafuso	para|fuso	prefix
kilowatt	kilo|watt	prefix
adicionar	adicion|ar	suffix
finar	fin|ar	suffix
bacalhoeiro	bacalho|eiro	suffix
colonial	coloni|al	suffix
municipal	municip|al	suffix
bravura	brav|ura	suffix
septicemia	septic|emia	suffix
zambiano	zambi|ano	suffix
zimbabuense	zimbabu|ense	suffix
zoológico	zoológ|ico	suffix
utópico	utóp|ico	suffix
utilizar	util|izar	suffix
urgentemente	urgente|mente	suffix
ucraniano	ucrani|ano	suffix
ultravioleta	ultra|violeta	prefix
universalmente	universal|mente	suffix
cromo	cromo|	prefix
solar	sol|ar	suffix
descobrir	des|cobrir	prefix
saborear	sabor|ear	suffix
jamaicano	jamaic|ano	suffix
juntamente	junta|mente	suffix
justamente	justa|mente	suffix
burlar	burl|ar	suffix
testicular	testicul|ar	suffix
quimioterapia	quimio|terapia	prefix
quitar	quit|ar	suffix
circumpolar	circum|polar	prefix
homossexual	homo|ssexual	prefix
capoeira	capo|eira	suffix
ilegal	i|legal	prefix
peruano	peru|ano	suffix
dimensional	dimension|al	suffix
cervical	cervic|al	suffix
brasil	bras|il	suffix
unilateral	uni|lateral	prefix
recursivo	recurs|ivo	suffix
reunir	re|unir	prefix
arterial	arteri|al	suffix
binocular	binocul|ar	suffix
americano	americ|ano	suffix
registrar	registr|ar	suffix
antipapal	anti|papal	prefix
antineutrino	anti|neutrino	prefix
antigay	anti|gay	prefix
tangerina	tanger|ina	suffix
filipino	filip|ino	suffix
antiquark	anti|quark	prefix
territorial	territori|al	suffix
zodiacal	zodiac|al	suffix
anticlerical	anti|clerical	prefix
bilateral	bi|lateral	prefix
devagar	de|vagar	prefix
coração	cora|ção	suffix
antiviral	anti|viral	prefix
paranormal	para|normal	prefix
caudal	caud|al	suffix
básico	bás|ico	suffix
revestimento	revesti|mento	suffix
compatriota	com|patriota	prefix
seguidor	segui|dor	suffix
manifestante	manifest|ante	suffix
vendedor	vende|dor	suffix
catolicismo	catolic|ismo	suffix
comunicado	comunic|ado	suffix
tramitar	tramit|ar	suffix
presenciar	presenci|ar	suffix
capturar	captur|ar	suffix
relacionar	relacion|ar	suffix
terrorismo	terror|ismo	suffix
entrevista	entre|vista	prefix
tocador	toca|dor	suffix
comedor	come|dor	suffix
votar	vot|ar	suffix
atacante	atac|ante	suffix
candidatura	candidat|ura	suffix
oficializar	oficial|izar	suffix
absolutismo	absolut|ismo	suffix
centralismo	central|ismo	suffix
comandante	comand|ante	suffix
socialista	social|ista	suffix
recompensa	re|compensa	prefix
liderar	lider|ar	suffix
desaparecer	des|aparecer	prefix
negociador	negocia|dor	suffix
programar	program|ar	suffix
conseguir	con|seguir	prefix
legalizar	legal|izar	suffix
estacionar	estacion|ar	suffix
supermercado	super|mercado	prefix
altura	alt|ura	suffix
documental	document|al	suffix
particularmente	particular|mente	suffix
deliberadamente	deliberada|mente	suffix
carril	carr|il	suffix
analfabetismo	analfabet|ismo	suffix
tradução	tradu|ção	suffix
retirar	re|tirar	prefix
imperialismo	imperial|ismo	suffix
distribuir	dis|tribuir	prefix
beneficiar	benefici|ar	suffix
chatear	chat|ear	suffix
