Prefixes: 188
1073 anti
 266 des
 176 a
 158 re
 158 in
  61 auto
  37 bio
  36 sub
  32 agro
  32 mono
  26 geo
  25 multi
  25 im
  25 micro
  24 poli
  23 super
  23 foto
  22 aero
  22 radio
  21 inter
  20 di
  20 cripto
  19 semi
  18 en
  18 sobre
  18 eletro
  17 con
  17 tele
  16 bi
  16 de
  16 co
  16 hiper
  16 pré
  16 an
  15 i
  15 tri
  14 adeno
  14 neuro
  13 neo
  13 hidro
  13 ante
  13 antropo
  12 pre
  12 hipo
  11 psico
  11 quilo
  11 pós
  10 ultra
  10 astro
  10 es
  10 intra
  10 contra
   9 para
   9 endo
   9 supra
   9 termo
   9 eco
   9 meta
   9 acro
   9 ântero
   8 extra
   8 arqui
   8 trans
   8 tetra
   7 homo
   7 com
   7 entre
   7 paleo
   7 hetero
   6 so
   6 per
   6 socio
   6 omni
   6 osteo
   6 bis
   6 euro
   6 fosfo
   6 ciber
   6 vice
   6 web
   5 ab
   5 quimio
   5 uni
   5 macro
   5 mili
   5 ano
   5 adreno
   5 mini
   5 nano
   5 proto
   5 actino
   5 alo
   4 ciclo
   4 ambi
   4 anfi
   4 antí
   4 mega
   4 organo
   4 andro
   4 orto
   4 pseudo
   4 tris
   4 braqui
   4 aniso
   4 aorto
   4 as
   3 cardio
   3 pan
   3 retro
   3 rodo
   3 cito
   3 anglo
   3 hemo
   3 penta
   3 ir
   3 piro
   3 pluri
   3 exo
   3 mal
   3 circun
   2 ferro
   2 Euro
   2 infra
   2 afro
   2 histo
   2 anto
   2 dendro
   2 abdomino
   2 narco
   2 hexa
   2 tio
   2 electro
   2 iso
   2 peri
   2 biblio
   2 pro
   2 crono
   2 lacto
   2 fito
   2 pró
   2 res
   2 auri
   1 kilo
   1 cromo
   1 circum
   1 dis
   1 carbo
   1 audio
   1 gastro
   1 milí
   1 linfo
   1 oni
   1 viti
   1 glico
   1 braquio
   1 frigo
   1 vini
   1 luso
   1 ciano
   1 mon
   1 hemi
   1 imuno
   1 musculo
   1 calco
   1 em
   1 cupro
   1 sesqui
   1 cloro
   1 nanô
   1 meso
   1 tres
   1 anarco
   1 quadri
   1 mesó
   1 sin
   1 alelo
   1 aló
   1 angio
   1 aracno
   1 hecto
   1 centi
   1 deci
   1 video
   1 hidr
   1 ên
   1 xeno
   1 sur
   1 e


Suffixes: 200
1415 mente
 807 ar
 662 ção
 392 ico
 332 mento
 292 idade
 258 ismo
 256 dor
 224 eiro
 218 ista
 212 ão
 180 izar
 173 ense
 167 ado
 163 oso
 148 ada
 140 al
 134 eira
 116 ável
  97 inho
  91 a
  83 ano
  81 agem
  77 inha
  76 zinho
  75 ante
  74 ia
  72 ear
  53 ês
  51 ivo
  51 aria
  47 o
  42 ência
  40 eza
  39 ível
  36 ação
  34 ice
  30 ura
  29 dura
  29 ário
  28 eta
  28 ento
  26 udo
  23 ez
  22 aço
  22 ático
  21 ância
  20 ido
  19 ejar
  19 iano
  18 esa
  15 ança
  15 logia
  14 ino
  14 ato
  14 io
  14 deira
  14 tório
  13 ote
  13 ente
  13 ificar
  13 ete
  12 idão
  12 são
  11 vel
  11 es
  10 ela
  10 dade
  10 íssimo
   9 abilidade
   9 or
   9 ola
   8 douro
   8 ilho
   7 oide
   7 im
   7 zinha
   7 nte
   7 ador
   6 ito
   6 il
   6 ina
   6 esco
   6 tura
   6 ença
   6 ite
   6 edo
   6 metro
   6 iço
   5 eca
   5 alho
   5 ectomia
   5 ístico
   5 onho
   5 enho
   4 ejo
   4 aça
   4 ida
   4 ório
   4 logo
   4 oca
   4 ópolis
   4 ona
   3 imento
   3 emia
   3 elho
   3 cida
   3 tiva
   3 isa
   3 dora
   3 diço
   3 ita
   3 ume
   3 deiro
   3 fobo
   3 essa
   3 icho
   2 aco
   2 ial
   2 ase
   2 tivo
   2 anço
   2 teca
   2 eda
   2 ata
   2 acho
   2 elo
   2 ose
   2 alha
   2 ota
   2 isco
   2 itar
   2 geno
   2 logista
   2 ama
   2 inte
   2 oto
   2 iar
   2 icar
   2 tico
   2 ífero
   2 dromo
   2 ículo
   2 açal
   2 ouro
   1 avo
   1 ango
   1 ir
   1 ólogo
   1 eno
   1 ologia
   1 imo
   1 zana
   1 is
   1 grafia
   1 asca
   1 arão
   1 engo
   1 filia
   1 ando
   1 gênico
   1 dela
   1 ício
   1 ebre
   1 diça
   1 ecer
   1 éu
   1 ema
   1 ilha
   1 oma
   1 pata
   1 plastia
   1 cêntrico
   1 iscar
   1 ana
   1 ardo
   1 ugem
   1 áceo
   1 polis
   1 bol
   1 arro
   1 eco
   1 lândia
   1 ara
   1 oco
   1 ragia
   1 igo
   1 ego
   1 ation
   1 ol
   1 ilhar
   1 dio
   1 reia
   1 ético
   1 osa
   1 fago
   1 el
   1 eima
   1 ficar
   1 iça
