pedra	empedernir	N	V	en	prefix
actínio	protactínio	N	N	proto	prefix
metro	quilómetro	N	N	quilo	prefix
metro	megâmetro	N	N	mega	prefix
hídrico	clorídrico	J	J	cloro	prefix
responsabilidade	irresponsabilidade	N	N	in	prefix
reprochável	irreprochável	J	J	in	prefix
Tauro	Antitauro	N	N	anti	prefix
Terra	Antiterra	N	N	anti	prefix
bêbado	trêbado	J	J	tri	prefix
América	Mesoamérica	N	N	meso	prefix
trópico	Neotrópico	N	N	neo	prefix
tênar	hipótenar	N	N	hipo	prefix
lagos	Interlagos	N	N	inter	prefix
esporo	criptósporo	N	N	cripto	prefix
ateo	ateísmo	N	N	ismo	suffix
álamo	avenida	N	N	eda	suffix
boca	boqueirão	N	N	eiro	suffix
cacho	cachaça	N	N	aço	suffix
curar	curandeiro	V	N	ando	suffix
fileira	enfileirar	N	V	em	prefix
-ose	hipnose	N	N	hypno	prefix
quadro	quadrinhos	N	N	inho	suffix
-logo	biólogo	N	N	bio	prefix
metralhar	metralhadora	V	N	dor	suffix
novela	télénovela	N	N	tele	prefix
-edro	octaedro	N	N	tetra	prefix
-logo	zoólogo	N	N	zoo	prefix
baraço	embaraçar	N	V	en	prefix
sapato	sapatão	N	N	āo	suffix
