aliasing	anti-aliasing	N	N	anti	prefix
activar	desactivar	V	V	des	prefix
mamã	mamita	N	N	ita	suffix
nude	seminude	N	N	semi	prefix
efectivo	efectivamente	J	R	mente	suffix
politically	geopolitically	R	R	geo	prefix
acrolecto	acrolectal	N	J	al	suffix
spyware	antispyware	N	J	anti	prefix
abortista	antiabortista	J	J	anti	prefix
ceptor	adrenoceptor	N	N	adreno	prefix
Azerbaijão	azerbaijano	N	N	ano	suffix
malware	antimalware	N	J	anti	prefix
mutar	mutágeno	V	N	geno	suffix
kink	antikink	N	N	anti	prefix
phishing	antiphishing	N	J	anti	prefix
wiki	wikificar	N	V	ificar	suffix
transglutaminase	antitransglutaminase	J	J	anti	prefix
troll	trollar	N	V	ar	suffix
bug	bugar	N	V	ar	suffix
activar	activação	V	N	ção	suffix
anémico	anemicamente	J	R	mente	suffix
badmínton	badmintonista	N	N	ista	suffix
arabinana	arabinase	N	N	ase	suffix
oncogene	antioncogene	N	N	anti	prefix
atómico	diatómico	J	J	di	prefix
hidrogénio	di-hidrogénio	N	N	di	prefix
oxigenase	cicloxigenase	N	N	ciclo	prefix
eletrónica	microeletrónica	N	N	micro	prefix
polifosfato	ortopolifosfato	N	N	orto	prefix
atómico	monoatómico	J	J	mono	prefix
actualizar	actualização	V	N	ção	suffix
actuar	actuação	V	N	ção	suffix
exactamente	inexactamente	R	R	in	prefix
exactidão	inexactidão	N	N	in	prefix
rectificar	rectificação	V	N	ção	suffix
oxigenase	monooxigenase	N	N	mono	prefix
alquil	trialquil	N	N	tri	prefix
aril	triaril	N	N	tri	prefix
glicémia	hiperglicémia	N	N	hiper	prefix
activação	inactivação	N	N	in	prefix
activar	inactivar	V	V	in	prefix
monómero	monomêrico	N	J	ico	suffix
crómico	hipocrómico	J	J	hipo	prefix
patogénico	neuropatogénico	J	J	neuro	prefix
sónico	infrassónico	J	J	infra	prefix
sónico	ultrassónico	J	J	ultra	prefix
protector	cardioprotector	J	J	cardio	prefix
anedotal	anedotalmente	J	R	mente	suffix
protector	quimioprotector	J	J	quimio	prefix
dog	dogão	N	N	ão	suffix
académico	antiacadémico	J	J	anti	prefix
medicarse	automedicarse	V	V	auto	prefix
púdico	impúdico	J	J	in	prefix
glacear	deglacear	V	V	de	prefix
Ilhas Marshall	marshallês	N	N	ês	suffix
cronoamperometria	cronoamperométrico	N	J	ico	suffix
cronoestratigráfico	cronoestratigraficamente	J	R	mente	suffix
tónico	subtónico	J	J	sub	prefix
topónimo	antropotopónimo	N	N	antropo	prefix
oníquia	braquioníquia	N	N	braqui	prefix
género	transgénero	N	J	trans	prefix
Surtsey	surtseyano	N	J	ano	suffix
génese	osteogénese	N	N	osteo	prefix
ziguezague	ziguezaguear	N	V	ear	suffix
Markovnikov	anti-Markovnikov	J	J	anti	prefix
polissema	polissémico	N	J	ico	suffix
antiforma	antiformal	N	J	al	suffix
Stokes	anti-Stokes	J	J	anti	prefix
stelo	actinostelo	N	N	actino	prefix
acultural	aculturalmente	J	R	mente	suffix
económico	agroeconómico	J	J	agro	prefix
alético	aleticamente	J	R	mente	suffix
Zimbabwe	zimbabweano	N	J	ano	suffix
pseudomonal	antipseudomonal	J	J	anti	prefix
génese	patogénese	N	N	pato	prefix
alélico	alelicamente	J	R	mente	suffix
algoritmizar	algoritmização	V	N	ção	suffix
algoritmizar	algoritmizável	V	J	ável	suffix
aleno	alénico	N	J	ico	suffix
ambiguizar	ambiguização	V	N	ção	suffix
ambissilábico	ambissilabicidade	J	N	idade	suffix
gangliosídeo	antigangliosídeos	N	J	anti	prefix
ribonucleoproteína	antirribonucleoproteína	J	J	anti	prefix
afasiologia	afasiológico	N	J	ico	suffix
ecogénico	anecogénico	J	J	an	prefix
diamétrico	anisodiamétrico	J	J	aniso	prefix
hegemónico	anti-hegemónico	J	J	anti	prefix
hidrogénio	anti-hidrogénio	N	N	anti	prefix
hiperglicémico	anti-hiperglicémico	J	J	anti	prefix
isquémico	anti-isquémico	J	J	anti	prefix
replay	anti-replay	J	J	anti	prefix
alergénico	antialergénico	J	J	anti	prefix
alodínico	antialodínico	J	J	anti	prefix
angiogénese	antiangiogénese	N	J	anti	prefix
angiogénico	antiangiogénico	J	J	anti	prefix
aterogénico	antiaterogénico	J	J	anti	prefix
atómico	antiatómico	J	J	anti	prefix
centrómero	anticentrómero	N	J	anti	prefix
cetogénico	anticetogénico	J	J	anti	prefix
coccidiano	anticoccidiano	J	J	anti	prefix
coccídico	anticoccídico	J	J	anti	prefix
prurítico	antiprurítico	J	J	anti	prefix
degradação 	antidegradação	J	J	anti	prefix
dermatítico	antidermatítico	J	J	anti	prefix
dislipidémico	antidislipidémico	J	J	anti	prefix
drómico	antidrómico	J	J	anti	prefix
déficit	antidéficit	N	J	anti	prefix
económico	antieconómico	J	J	anti	prefix
estrogénio	antiestrogénio	N	N	anti	prefix
antiestrutura	antiestrutural	N	J	al	suffix
antigenoma	antigenômico	N	J	ico	suffix
glicante	antiglicante	J	J	anti	prefix
káon	antikáon	N	N	anti	prefix
leucémico	antileucémico	J	J	anti	prefix
maçónico	antimaçónico	J	J	anti	prefix
mutagénico	antimutagénico	J	J	anti	prefix
mutágeno	antimutágeno	N	N	anti	prefix
antinegro	antinegrismo	J	N	ismo	suffix
nucleante	antinucleante	J	J	anti	prefix
plasmódico	antiplasmódico	J	J	anti	prefix
antiporte	antiportador	N	N	dor	suffix
psoriático	antipsoriático	J	J	anti	prefix
serotonérgico	antisserotonérgico	J	J	anti	prefix
sintetase	antissintetase	N	J	anti	prefix
tumorigênico	antitumorigênico	J	J	anti	prefix
ulcerogénico	antiulcerogénico	J	J	anti	prefix
antrorso	antrorsamente	J	R	mente	suffix
aplita	aplítico	N	J	ico	suffix
harmónico	desarmónico	J	J	des	prefix
antonomásico	antonomasicamente	J	R	mente	suffix
apostrófico	apostroficamente	J	R	mente	suffix
artefatual	artefatualmente	J	R	mente	suffix
Sri Lanka	srilanquês	N	J	ês	suffix
Brazil	brazuca	N	J	uca	suffix
microfonado	microfonada	J	J	a	suffix
polissémico	polissemicamente	J	R	mente	suffix
BBB	ex-BBB	N	N	ex	prefix
pixulé	pixuleco	N	N	eco	suffix
islamofobia	islamofóbico	N	J	ico	suffix
