POS Tags

V 82.87% (311865)
N 14.62% (55003)
A  2.52% (9473)

Morphemes (158)

s  9.11% (30549)
a  6.02% (20181)
ado  4.48% (15020)
e  3.70% (12421)
amos  2.67% (8936)
emos  2.46% (8256)
em  2.45% (8201)
aria  2.25% (7534)
ava  2.24% (7510)
ares  2.24% (7505)
armos  2.24% (7505)
ardes  2.24% (7505)
arem  2.24% (7505)
ara  2.24% (7504)
asse  2.24% (7504)
aram  2.24% (7502)
es  1.73% (5816)
am  1.54% (5179)
ais  1.33% (4469)
as  1.33% (4465)
o  1.33% (4461)
eis  1.22% (4093)
ei  1.22% (4090)
ará  1.12% (3768)
arei  1.12% (3766)
aremos  1.12% (3766)
areis  1.12% (3766)
arão  1.12% (3766)
arias  1.12% (3766)
aríamos  1.12% (3766)
aríeis  1.12% (3766)
ariam  1.12% (3766)
arás  1.12% (3765)
ai  1.12% (3755)
avas  1.12% (3754)
ávamos  1.12% (3754)
áveis  1.12% (3754)
avam  1.12% (3753)
ou  1.12% (3753)
aste  1.12% (3751)
astes  1.12% (3751)
aras  1.12% (3751)
áramos  1.12% (3751)
áreis  1.12% (3751)
asses  1.12% (3751)
ássemos  1.12% (3751)
ásseis  1.12% (3751)
assem  1.12% (3751)
ido  0.70% (2360)
ões  0.65% (2174)
ia  0.37% (1236)
i  0.26% (862)
era  0.23% (780)
esse  0.23% (780)
eram  0.23% (779)
eres  0.22% (751)
ermos  0.22% (751)
erdes  0.22% (751)
erem  0.22% (751)
is  0.22% (735)
iria  0.21% (688)
eria  0.20% (684)
íamos  0.20% (679)
íeis  0.20% (679)
irmos  0.20% (668)
irdes  0.20% (668)
ias  0.19% (621)
iam  0.18% (618)
ires  0.17% (561)
irem  0.17% (561)
imos  0.17% (557)
iram  0.16% (552)
ira  0.16% (552)
isse  0.16% (552)
ns  0.14% (467)
estes  0.12% (390)
eras  0.12% (390)
esses  0.12% (390)
essem  0.12% (390)
este  0.12% (389)
irei  0.10% (344)
irás  0.10% (344)
irá  0.10% (344)
iremos  0.10% (344)
ireis  0.10% (344)
irão  0.10% (344)
irias  0.10% (344)
iríamos  0.10% (344)
iríeis  0.10% (344)
iriam  0.10% (344)
erei  0.10% (342)
erás  0.10% (342)
erá  0.10% (342)
eremos  0.10% (342)
ereis  0.10% (342)
erão  0.10% (342)
erias  0.10% (342)
eríamos  0.10% (342)
eríeis  0.10% (342)
eriam  0.10% (342)
iu  0.10% (331)
íramos  0.10% (331)
íreis  0.10% (331)
íssemos  0.10% (331)
ísseis  0.10% (331)
eu  0.10% (322)
êramos  0.10% (320)
êreis  0.10% (320)
êssemos  0.10% (320)
êsseis  0.10% (320)
iste  0.08% (277)
istes  0.08% (276)
iras  0.08% (276)
isses  0.08% (276)
issem  0.08% (276)
ído  0.07% (244)
er  0.04% (143)
ía  0.04% (122)
í  0.03% (116)
ímos  0.03% (110)
íram  0.03% (110)
íra  0.03% (110)
ísse  0.03% (110)
íres  0.03% (107)
írem  0.03% (107)
osto  0.03% (88)
esa  0.02% (81)
íam  0.02% (61)
ías  0.02% (58)
ís  0.02% (55)
íste  0.02% (55)
ístes  0.02% (55)
íras  0.02% (55)
ísses  0.02% (55)
íssem  0.02% (55)
des  0.02% (53)
oria  0.01% (44)
ona  0.01% (42)
omos  0.01% (23)
ores  0.01% (22)
ormos  0.01% (22)
ordes  0.01% (22)
orem  0.01% (22)
orias  0.01% (22)
oríamos  0.01% (22)
oríeis  0.01% (22)
oriam  0.01% (22)
íssimo  0.01% (21)
ói  0.01% (17)
oa  0.01% (17)
éns  0.00% (15)
imo  0.00% (11)
ã  0.00% (7)
ir  0.00% (6)
ar  0.00% (4)
isa  0.00% (3)
ando  0.00% (1)
és  0.00% (1)
